Fecha,Hora,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag
22-04-2016,24:00,15,V,7,V,1.9,V,21,V,63,V
23-04-2016,24:00,9,V,7,V,3.1,V,21,V,64,V
24-04-2016,24:00,11,V,18,V,3.4,V,19.8,V,59,V
25-04-2016,24:00,21,V,20,V,4,V,20.2,V,56,V
26-04-2016,24:00,23,V,7,V,3.7,V,20.3,V,58,V
27-04-2016,24:00,21,V,7,V,3.5,V,20.4,V,59,V
28-04-2016,24:00,18,V,43,V,3.1,V,18.9,V,68,V
29-04-2016,24:00,14,V,23,V,3,V,20.2,V,64,V
30-04-2016,24:00,22,V,22,V,4,V,19.9,V,67,V
01-05-2016,24:00,30,V,7,V,3.7,V,19.9,V,64,V
02-05-2016,24:00,33,V,7,V,3.5,V,20.9,V,62,V
03-05-2016,24:00,30,V,7,V,2.3,V,20.7,V,60,V
04-05-2016,24:00,26,V,293,V,2.4,V,21.1,V,58,V
05-05-2016,24:00,27,V,294,V,1.9,V,20.9,V,58,V
06-05-2016,24:00,20,V,6,V,3,V,20.6,V,53,V
07-05-2016,24:00,15,V,290,V,2.5,V,20.7,V,57,V
08-05-2016,24:00,17,V,292,V,2.9,V,22.1,V,58,V
09-05-2016,24:00,14,V,154,V,2.2,V,20,V,65,V
10-05-2016,24:00,19,V,294,V,2.7,V,21.2,V,56,V
11-05-2016,24:00,18,V,293,V,2.9,V,21.3,V,54,V
12-05-2016,24:00,16,V,6,V,2.7,V,20.9,V,56,V
13-05-2016,24:00,19,V,7,V,3.4,V,19.9,V,61,V
14-05-2016,24:00,23,V,21,V,4.3,V,19.8,V,58,V
15-05-2016,24:00,25,V,20,V,4.2,V,19.8,V,59,V
16-05-2016,24:00,32,V,19,V,4.2,V,,N,,N
17-05-2016,24:00,31,V,7,V,4.8,V,20.1,V,59,V
18-05-2016,24:00,25,V,19,V,4.5,V,20.2,V,57,V
19-05-2016,24:00,26,V,17,V,4.7,V,20.2,V,62,V
20-05-2016,24:00,33,V,7,V,3.7,V,20.6,V,67,V
21-05-2016,24:00,26,V,7,V,4.3,V,20.9,V,65,V
22-05-2016,24:00,24,V,41,V,4,V,20.5,V,70,V
23-05-2016,24:00,,N,7,V,2.8,V,22.1,V,63,V
24-05-2016,24:00,,N,7,V,3.9,V,21.8,V,63,V
25-05-2016,24:00,,N,17,V,2.5,V,21.4,V,63,V
26-05-2016,24:00,24,V,179,V,1.8,V,21.1,V,63,V
27-05-2016,24:00,21,V,158,V,1.4,V,21.7,V,63,V
28-05-2016,24:00,17,V,7,V,3.5,V,22,V,59,V
29-05-2016,24:00,18,V,7,V,3.1,V,20.8,V,60,V
30-05-2016,24:00,24,V,21,V,4.3,V,20.4,V,56,V
31-05-2016,24:00,29,V,7,V,3.1,V,20.5,V,63,V
01-06-2016,24:00,27,V,7,V,3.1,V,21.6,V,62,V
02-06-2016,24:00,22,V,7,V,3.5,V,21.1,V,62,V
03-06-2016,24:00,18,V,7,V,3.8,V,21.6,V,61,V
04-06-2016,24:00,17,V,7,V,3.5,V,21.6,V,64,V
05-06-2016,24:00,16,V,7,V,3.8,V,21.9,V,65,V
06-06-2016,24:00,21,V,7,V,3.7,V,23,V,62,V
07-06-2016,24:00,23,V,7,V,3,V,22.9,V,63,V
08-06-2016,24:00,22,V,7,V,3.7,V,24.9,V,54,V
09-06-2016,24:00,21,V,6,V,4.1,V,24.4,V,59,V
10-06-2016,24:00,19,V,19,V,4.8,V,22.9,V,67,V
11-06-2016,24:00,24,V,7,V,4.2,V,22.3,V,62,V
12-06-2016,24:00,25,V,7,V,3.7,V,22.5,V,64,V
13-06-2016,24:00,19,V,7,V,3.9,V,22.9,V,59,V
14-06-2016,24:00,21,V,7,V,4.7,V,23,V,66,V
15-06-2016,24:00,11,V,6,V,4.5,V,22.6,V,70,V
16-06-2016,24:00,21,V,7,V,3.7,V,21.7,V,61,V
17-06-2016,24:00,24,V,21,V,4.3,V,21.4,V,58,V
18-06-2016,24:00,25,V,42,V,4.4,V,21.4,V,61,V
19-06-2016,24:00,33,V,7,V,2.9,V,22.3,V,64,V
20-06-2016,24:00,33,V,6,V,4.6,V,23.8,V,58,V
21-06-2016,24:00,32,V,7,V,3.3,V,23.6,V,62,V
22-06-2016,24:00,29,V,40,V,3.4,V,22.1,V,72,V
23-06-2016,24:00,44,V,21,V,2.9,V,23.9,V,69,V
24-06-2016,24:00,50,V,22,V,2.9,V,24.4,V,68,V
25-06-2016,24:00,38,V,22,V,3.5,V,23.4,V,66,V
26-06-2016,24:00,28,V,22,V,4,V,22,V,64,V
27-06-2016,24:00,26,V,7,V,4,V,22.3,V,56,V
28-06-2016,24:00,29,V,7,V,3.3,V,23.1,V,60,V
29-06-2016,24:00,28,V,7,V,3.1,V,22.8,V,69,V
30-06-2016,24:00,26,V,22,V,3.5,V,22.8,V,65,V
01-07-2016,24:00,26,V,7,V,4.3,V,22.8,V,61,V
02-07-2016,24:00,16,V,7,V,4.8,V,22,V,67,V
03-07-2016,24:00,15,V,7,V,3.9,V,22.8,V,61,V
04-07-2016,24:00,19,V,7,V,3.5,V,22.8,V,59,V
05-07-2016,24:00,14,V,7,V,3.5,V,23.5,V,57,V
06-07-2016,24:00,17,V,20,V,4.2,V,23.2,V,59,V
07-07-2016,24:00,,N,19,V,4,V,,N,,N
08-07-2016,24:00,,N,,N,,N,,N,,N
09-07-2016,24:00,,N,,N,,N,,N,,N
10-07-2016,24:00,,N,,N,,N,,N,,N
11-07-2016,24:00,,N,,N,,N,,N,,N
12-07-2016,24:00,,N,20,V,5.2,V,,N,,N
13-07-2016,24:00,45,V,7,V,3.8,V,25,V,57,V
14-07-2016,24:00,39,V,20,V,3.9,V,26.5,V,49,V
15-07-2016,24:00,35,V,7,V,3.8,V,26.9,V,49,V
16-07-2016,24:00,32,V,7,V,3.1,V,25.7,V,50,V
17-07-2016,24:00,35,V,7,V,3.7,V,25.8,V,58,V
18-07-2016,24:00,,N,6,V,2.1,V,,N,,N
19-07-2016,24:00,,N,,N,,N,,N,,N
20-07-2016,24:00,,N,,N,,N,,N,,N
21-07-2016,24:00,,N,,N,,N,,N,,N
22-07-2016,24:00,,N,21,V,4.6,V,,N,,N
23-07-2016,24:00,32,V,19,V,3.7,V,23,V,69,V
24-07-2016,24:00,33,V,7,V,2.8,V,24.1,V,66,V
25-07-2016,24:00,42,V,42,V,3.1,V,24.8,V,67,V
26-07-2016,24:00,42,V,22,V,3,V,24.4,V,77,V
27-07-2016,24:00,43,V,21,V,3.6,V,26.4,V,57,V
28-07-2016,24:00,33,V,20,V,4.3,V,23.4,V,67,V
29-07-2016,24:00,22,V,22,V,4,V,23.1,V,68,V
30-07-2016,24:00,24,V,19,V,3.6,V,23.4,V,71,V
31-07-2016,24:00,28,V,6,V,3.8,V,24.6,V,66,V
01-08-2016,24:00,33,V,6,V,3.9,V,25.2,V,61,V
02-08-2016,24:00,36,V,6,V,4.2,V,24.4,V,65,V
03-08-2016,24:00,35,V,7,V,3.9,V,23.5,V,69,V
04-08-2016,24:00,50,V,21,V,3.6,V,25.4,V,65,V
05-08-2016,24:00,51,V,20,V,4.3,V,26.5,V,60,V
06-08-2016,24:00,35,V,21,V,3.1,V,27.8,V,53,V
07-08-2016,24:00,32,V,6,V,4.3,V,25.1,V,63,V
08-08-2016,24:00,37,V,177,V,1.9,V,26.6,V,60,V
09-08-2016,24:00,53,V,22,V,3.8,V,28.4,V,55,V
10-08-2016,24:00,45,V,21,V,4.3,V,27.6,V,51,V
11-08-2016,24:00,53,V,22,V,3.6,V,24.6,V,68,V
12-08-2016,24:00,39,V,6,V,3,V,24,V,67,V
13-08-2016,24:00,45,V,7,V,4.4,V,24.7,V,64,V
14-08-2016,24:00,38,V,6,V,3.9,V,24.3,V,66,V
15-08-2016,24:00,50,V,21,V,3.4,V,24.8,V,71,V
16-08-2016,24:00,53,V,43,V,4.1,V,24.4,V,75,V
17-08-2016,24:00,47,V,21,V,2.9,V,24.9,V,68,V
18-08-2016,24:00,34,V,43,V,3.6,V,24.1,V,67,V
19-08-2016,24:00,26,V,7,V,2.6,V,24.4,V,68,V
20-08-2016,24:00,28,V,21,V,3.5,V,24.1,V,73,V
21-08-2016,24:00,35,V,23,V,3,V,23.8,V,76,V
22-08-2016,24:00,36,V,19,V,2.9,V,25,V,67,V
23-08-2016,24:00,28,V,19,V,3.2,V,25.2,V,60,V
24-08-2016,24:00,25,V,7,V,3.8,V,24.7,V,64,V
25-08-2016,24:00,24,V,7,V,4.1,V,25,V,60,V
26-08-2016,24:00,28,V,19,V,3,V,24.4,V,71,V
27-08-2016,24:00,39,V,22,V,3.3,V,24.6,V,74,V
28-08-2016,24:00,46,V,37,V,2.9,V,25.8,V,72,V
29-08-2016,24:00,53,V,22,V,3.4,V,27,V,65,V
30-08-2016,24:00,41,V,22,V,3.7,V,28,V,49,V
31-08-2016,24:00,31,V,22,V,3.6,V,25.1,V,63,V
01-09-2016,24:00,26,V,21,V,3.7,V,23.8,V,68,V
02-09-2016,24:00,29,V,20,V,2.8,V,23.8,V,69,V
03-09-2016,24:00,35,V,42,V,3.2,V,24.3,V,69,V
04-09-2016,24:00,25,V,7,V,2.9,V,24.4,V,65,V
05-09-2016,24:00,40,V,7,V,2.7,V,24.6,V,68,V
06-09-2016,24:00,34,V,7,V,3,V,25.3,V,66,V
07-09-2016,24:00,32,V,7,V,2.9,V,25,V,67,V
08-09-2016,24:00,34,V,22,V,3.4,V,23.8,V,72,V
09-09-2016,24:00,29,V,22,V,3.8,V,24.1,V,72,V
10-09-2016,24:00,23,V,22,V,4.1,V,23.9,V,68,V
11-09-2016,24:00,19,V,43,V,3.9,V,23.8,V,67,V
12-09-2016,24:00,14,V,40,V,3,V,23.9,V,69,V
13-09-2016,24:00,11,V,20,V,3.1,V,24.5,V,70,V
14-09-2016,24:00,21,V,20,V,3.8,V,23.8,V,64,V
15-09-2016,24:00,22,V,20,V,4.7,V,23.3,V,59,V
16-09-2016,24:00,26,V,22,V,4.8,V,23.9,V,60,V
17-09-2016,24:00,23,V,21,V,3.4,V,23.7,V,64,V
18-09-2016,24:00,25,V,37,V,2.7,V,22.9,V,72,V
19-09-2016,24:00,27,V,20,V,2.9,V,24,V,67,V
20-09-2016,24:00,21,V,41,V,3,V,23.5,V,65,V
21-09-2016,24:00,20,V,7,V,2.1,V,23.2,V,63,V
22-09-2016,24:00,17,V,42,V,3.9,V,23,V,66,V
23-09-2016,24:00,22,V,22,V,4,V,23,V,61,V
24-09-2016,24:00,21,V,19,V,3.7,V,23.3,V,65,V
25-09-2016,24:00,17,V,18,V,3.9,V,23.4,V,68,V
26-09-2016,24:00,26,V,21,V,3.7,V,23.3,V,68,V
27-09-2016,24:00,36,V,20,V,3.5,V,23,V,71,V
28-09-2016,24:00,55,V,7,V,2.5,V,23.9,V,71,V
29-09-2016,24:00,102,V,19,V,3,V,25.3,V,65,V
30-09-2016,24:00,46,V,6,V,2.7,V,23.6,V,68,V
01-10-2016,24:00,34,V,44,V,2.9,V,23.4,V,68,V
02-10-2016,24:00,33,V,6,V,2.1,V,23.3,V,69,V
03-10-2016,24:00,28,V,7,V,3.4,V,23.2,V,65,V
04-10-2016,24:00,34,V,7,V,3,V,23.3,V,69,V
05-10-2016,24:00,44,V,156,V,1.6,V,23.1,V,70,V
06-10-2016,24:00,41,V,294,V,1,V,23.7,V,68,V
07-10-2016,24:00,41,V,44,V,2.6,V,23.3,V,71,V
08-10-2016,24:00,39,V,42,V,3.5,V,23.1,V,71,V
09-10-2016,24:00,26,V,22,V,3.1,V,22.8,V,64,V
10-10-2016,24:00,26,V,23,V,3.6,V,22.8,V,67,V
11-10-2016,24:00,19,V,23,V,3.3,V,22.4,V,68,V
12-10-2016,24:00,9,V,7,V,2.7,V,23.2,V,65,V
13-10-2016,24:00,17,V,309,V,2.8,V,23.8,V,64,V
14-10-2016,24:00,13,V,7,V,2.6,V,23.1,V,63,V
15-10-2016,24:00,10,V,156,V,2,V,22.5,V,69,V
16-10-2016,24:00,11,V,158,V,1.9,V,22.5,V,71,V
17-10-2016,24:00,20,V,19,V,2.3,V,25.8,V,53,V
18-10-2016,24:00,20,V,20,V,2.4,V,26.2,V,47,V
19-10-2016,24:00,31,V,19,V,2.6,V,25.2,V,57,V
20-10-2016,24:00,33,V,7,V,1.7,V,24.6,V,62,V
21-10-2016,24:00,22,V,19,V,1.6,V,23.3,V,71,V
22-10-2016,24:00,17,V,172,V,2.3,V,22.9,V,72,V
23-10-2016,24:00,13,V,173,V,1.8,V,23.3,V,66,V
24-10-2016,24:00,16,V,181,V,1.8,V,22.6,V,63,V
25-10-2016,24:00,11,V,180,V,2.6,V,21.3,V,77,V
26-10-2016,24:00,14,V,177,V,3.8,V,20.8,V,77,V
27-10-2016,24:00,21,V,175,V,2.9,V,22.5,V,78,V
28-10-2016,24:00,43,V,180,V,3,V,24.4,V,69,V
29-10-2016,24:00,42,V,7,V,1.9,V,25.6,V,59,V
30-10-2016,24:00,47,V,7,V,1.4,V,25.1,V,52,V
31-10-2016,24:00,55,V,173,V,1.4,V,24.9,V,62,V
01-11-2016,24:00,45,V,21,V,1.9,V,23.4,V,76,V
02-11-2016,24:00,48,V,7,V,1.6,V,23.8,V,73,V
03-11-2016,24:00,39,V,156,V,1.3,V,22.7,V,73,V
04-11-2016,24:00,13,V,180,V,2.4,V,22.6,V,70,V
05-11-2016,24:00,12,V,179,V,1.8,V,21.9,V,67,V
06-11-2016,24:00,13,V,313,V,1.3,V,20.6,V,71,V
07-11-2016,24:00,,N,17,V,3.1,V,,N,,N
08-11-2016,24:00,,N,,N,,N,,N,,N
09-11-2016,24:00,,N,23,V,4.1,V,,N,,N
10-11-2016,24:00,22,V,23,V,3.4,V,21.3,V,67,V
11-11-2016,24:00,22,V,22,V,4.5,V,21.4,V,67,V
12-11-2016,24:00,23,V,23,V,4.1,V,20.9,V,66,V
13-11-2016,24:00,18,V,21,V,2.8,V,20.8,V,67,V
14-11-2016,24:00,20,V,21,V,2.3,V,21.2,V,70,V
15-11-2016,24:00,32,V,21,V,2.8,V,21,V,76,V
16-11-2016,24:00,35,V,21,V,2.8,V,21.2,V,78,V
17-11-2016,24:00,29,V,23,V,2.7,V,21.4,V,75,V
18-11-2016,24:00,30,V,23,V,2.6,V,21.4,V,74,V
19-11-2016,24:00,18,V,39,V,2.8,V,21,V,67,V
20-11-2016,24:00,11,V,6,V,2.2,V,20.5,V,64,V
21-11-2016,24:00,12,V,310,V,1.7,V,20.7,V,64,V
22-11-2016,24:00,14,V,6,V,3.5,V,19.7,V,66,V
23-11-2016,24:00,16,V,6,V,3.5,V,18.5,V,54,V
24-11-2016,24:00,15,V,6,V,2.3,V,18.3,V,56,V
25-11-2016,24:00,14,V,223,V,2.6,V,19.2,V,60,V
26-11-2016,24:00,13,V,314,V,2.2,V,20,V,64,V
27-11-2016,24:00,14,V,6,V,2.7,V,20.1,V,65,V
28-11-2016,24:00,17,V,7,V,2.4,V,19.5,V,62,V
29-11-2016,24:00,16,V,179,V,3.1,V,19.1,V,65,V
30-11-2016,24:00,15,V,177,V,2.7,V,20.4,V,67,V
01-12-2016,24:00,19,V,46,V,1.9,V,20.4,V,68,V
02-12-2016,24:00,15,V,177,V,2.6,V,22.5,V,63,V
03-12-2016,24:00,16,V,182,V,2.4,V,22,V,70,V
04-12-2016,24:00,20,V,307,V,2.1,V,21.4,V,67,V
05-12-2016,24:00,13,V,7,V,2.8,V,21.4,V,71,V
06-12-2016,24:00,10,V,22,V,2.8,V,20.6,V,72,V
07-12-2016,24:00,18,V,21,V,2.6,V,20.6,V,70,V
08-12-2016,24:00,23,V,177,V,1.8,V,21,V,70,V
09-12-2016,24:00,20,V,172,V,2.1,V,21.5,V,60,V
10-12-2016,24:00,36,V,155,V,1.6,V,21.6,V,62,V
11-12-2016,24:00,40,V,316,V,1,V,20.6,V,63,V
12-12-2016,24:00,35,V,20,V,2.1,V,20.7,V,62,V
13-12-2016,24:00,29,V,6,V,1.7,V,20.6,V,69,V
14-12-2016,24:00,24,V,40,V,2.5,V,19.6,V,63,V
15-12-2016,24:00,22,V,18,V,3.5,V,19.7,V,60,V
16-12-2016,24:00,23,V,7,V,4,V,19.1,V,59,V
17-12-2016,24:00,23,V,6,V,4.4,V,17.5,V,60,V
18-12-2016,24:00,17,V,6,V,3.3,V,18,V,63,V
19-12-2016,24:00,17,V,6,V,2.5,V,18.7,V,63,V
20-12-2016,24:00,16,V,6,V,2.1,V,18.2,V,60,V
21-12-2016,24:00,20,V,41,V,4.1,V,18.8,V,61,V
22-12-2016,24:00,30,V,43,V,3.4,V,19.6,V,64,V
23-12-2016,24:00,33,V,40,V,2.8,V,19.3,V,54,V
24-12-2016,24:00,48,V,43,V,3.3,V,20.1,V,56,V
25-12-2016,24:00,165,V,23,V,2.2,V,19.8,V,54,V
26-12-2016,24:00,50,V,23,V,2.4,V,20.2,V,51,V
27-12-2016,24:00,36,V,23,V,1.9,V,19.8,V,49,V
28-12-2016,24:00,35,V,157,V,3.3,V,19.8,V,53,V
29-12-2016,24:00,40,V,154,V,3.3,V,19.7,V,52,V
30-12-2016,24:00,33,V,157,V,3.2,V,19.2,V,52,V
31-12-2016,24:00,47,V,157,V,3.8,V,19,V,52,V
