Fecha,Hora,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag
01-01-2016,24:00,34,V,7,V,1.6,V,19.1,V,75,V
02-01-2016,24:00,25,V,21,V,1.7,V,19.6,V,73,V
03-01-2016,24:00,15,V,22,V,1.9,V,19.3,V,71,V
04-01-2016,24:00,11,V,7,V,2.3,V,19.5,V,64,V
05-01-2016,24:00,12,V,20,V,3.6,V,19.5,V,71,V
06-01-2016,24:00,21,V,20,V,3.7,V,18.7,V,56,V
07-01-2016,24:00,30,V,21,V,2.7,V,19.6,V,65,V
08-01-2016,24:00,30,V,294,V,1.6,V,19,V,72,V
09-01-2016,24:00,16,V,174,V,1.8,V,19,V,70,V
10-01-2016,24:00,15,V,174,V,2,V,18.7,V,75,V
11-01-2016,24:00,15,V,7,V,1.7,V,19.5,V,71,V
12-01-2016,24:00,15,V,41,V,2.1,V,20,V,64,V
13-01-2016,24:00,22,V,157,V,1.2,V,19.9,V,71,V
14-01-2016,24:00,22,V,7,V,1.8,V,20.4,V,69,V
15-01-2016,24:00,24,V,22,V,2.8,V,19.9,V,76,V
16-01-2016,24:00,31,V,7,V,2,V,19.4,V,74,V
17-01-2016,24:00,29,V,7,V,2.1,V,18.6,V,72,V
18-01-2016,24:00,78,V,21,V,2.2,V,19.6,V,73,V
19-01-2016,24:00,55,V,7,V,1.9,V,18.9,V,71,V
20-01-2016,24:00,,N,7,V,1.9,V,18.9,V,68,V
21-01-2016,24:00,13,V,40,V,2.4,V,19.4,V,73,V
22-01-2016,24:00,14,V,23,V,2.4,V,20.2,V,74,V
23-01-2016,24:00,32,V,45,V,1.9,V,20.4,V,70,V
24-01-2016,24:00,69,V,175,V,3.6,V,20.3,V,49,V
25-01-2016,24:00,42,V,19,V,1.9,V,20.7,V,50,V
26-01-2016,24:00,50,V,22,V,2.7,V,19.8,V,67,V
27-01-2016,24:00,38,V,41,V,2.9,V,19.1,V,75,V
28-01-2016,24:00,18,V,41,V,3.5,V,19.1,V,67,V
29-01-2016,24:00,27,V,23,V,3.7,V,18.9,V,63,V
30-01-2016,24:00,34,V,23,V,4.2,V,19,V,67,V
31-01-2016,24:00,40,V,22,V,3.9,V,18.9,V,69,V
01-02-2016,24:00,41,V,43,V,2,V,19.3,V,71,V
02-02-2016,24:00,40,V,19,V,1.8,V,18.4,V,72,V
03-02-2016,24:00,29,V,22,V,2.5,V,19,V,73,V
04-02-2016,24:00,26,V,41,V,2.3,V,19,V,72,V
05-02-2016,24:00,29,V,21,V,2.3,V,19.5,V,74,V
06-02-2016,24:00,28,V,7,V,1.9,V,20.3,V,70,V
07-02-2016,24:00,26,V,22,V,2.7,V,19.4,V,74,V
08-02-2016,24:00,21,V,23,V,2.6,V,19.3,V,70,V
09-02-2016,24:00,18,V,22,V,3.1,V,19.1,V,68,V
10-02-2016,24:00,17,V,22,V,3.6,V,19.2,V,66,V
11-02-2016,24:00,20,V,19,V,3.8,V,19.7,V,62,V
12-02-2016,24:00,17,V,19,V,3.9,V,19.7,V,68,V
13-02-2016,24:00,21,V,20,V,3.4,V,19.5,V,71,V
14-02-2016,24:00,48,V,19,V,4.5,V,20,V,61,V
15-02-2016,24:00,66,V,22,V,5.8,V,18.6,V,54,V
16-02-2016,24:00,35,V,22,V,5.4,V,17.8,V,49,V
17-02-2016,24:00,24,V,22,V,4.3,V,17.2,V,52,V
18-02-2016,24:00,14,V,7,V,3.4,V,15.7,V,66,V
19-02-2016,24:00,16,V,6,V,4.1,V,14.2,V,62,V
20-02-2016,24:00,16,V,6,V,3.5,V,15.4,V,70,V
21-02-2016,24:00,14,V,293,V,2,V,17,V,66,V
22-02-2016,24:00,20,V,7,V,2.8,V,18.6,V,61,V
23-02-2016,24:00,23,V,23,V,3.5,V,17.8,V,65,V
24-02-2016,24:00,38,V,22,V,4.2,V,18.1,V,69,V
25-02-2016,24:00,29,V,23,V,3.9,V,18.3,V,64,V
26-02-2016,24:00,18,V,19,V,3.5,V,18,V,56,V
27-02-2016,24:00,18,V,7,V,4.6,V,17.4,V,62,V
28-02-2016,24:00,14,V,7,V,4.8,V,17.5,V,69,V
29-02-2016,24:00,19,V,20,V,4.5,V,17.3,V,58,V
01-03-2016,24:00,,N,22,V,3.8,V,18.4,V,60,V
02-03-2016,24:00,46,V,21,V,2.3,V,18.8,V,75,V
03-03-2016,24:00,32,V,22,V,2.7,V,18,V,70,V
04-03-2016,24:00,22,V,7,V,2.6,V,18.1,V,60,V
05-03-2016,24:00,18,V,7,V,2.9,V,17.9,V,58,V
06-03-2016,24:00,17,V,18,V,4.1,V,17.3,V,58,V
07-03-2016,24:00,19,V,21,V,4.8,V,17.5,V,55,V
08-03-2016,24:00,21,V,21,V,4.8,V,17.4,V,57,V
09-03-2016,24:00,31,V,22,V,5,V,17.5,V,59,V
10-03-2016,24:00,29,V,22,V,4.4,V,18,V,62,V
11-03-2016,24:00,35,V,21,V,4.3,V,17.6,V,60,V
12-03-2016,24:00,27,V,21,V,3.2,V,17.4,V,60,V
13-03-2016,24:00,22,V,43,V,3,V,17.6,V,60,V
14-03-2016,24:00,26,V,6,V,2,V,18.3,V,60,V
15-03-2016,24:00,30,V,39,V,2.3,V,18.4,V,63,V
16-03-2016,24:00,20,V,43,V,2.4,V,18.2,V,70,V
17-03-2016,24:00,19,V,40,V,2.4,V,18.8,V,72,V
18-03-2016,24:00,18,V,22,V,2.7,V,18.4,V,69,V
19-03-2016,24:00,16,V,7,V,3,V,19.1,V,63,V
20-03-2016,24:00,14,V,7,V,3.1,V,18,V,58,V
21-03-2016,24:00,17,V,6,V,3.6,V,17.6,V,57,V
22-03-2016,24:00,19,V,6,V,3.8,V,18,V,55,V
23-03-2016,24:00,23,V,6,V,4.7,V,18.1,V,60,V
24-03-2016,24:00,22,V,7,V,4.1,V,17.5,V,55,V
25-03-2016,24:00,26,V,21,V,3.3,V,17.8,V,59,V
26-03-2016,24:00,20,V,43,V,2.9,V,17.8,V,62,V
27-03-2016,24:00,14,V,41,V,3.2,V,17.7,V,61,V
28-03-2016,24:00,16,V,22,V,3.3,V,18.5,V,70,V
29-03-2016,24:00,19,V,21,V,2.9,V,18.4,V,63,V
30-03-2016,24:00,15,V,7,V,1.9,V,18.1,V,63,V
31-03-2016,24:00,20,V,17,V,4.9,V,18,V,63,V
01-04-2016,24:00,26,V,20,V,4.4,V,17.8,V,52,V
02-04-2016,24:00,18,V,7,V,3.5,V,17.4,V,55,V
03-04-2016,24:00,12,V,7,V,3.4,V,18.4,V,61,V
04-04-2016,24:00,18,V,6,V,3.7,V,19.2,V,62,V
05-04-2016,24:00,16,V,6,V,5.2,V,19.2,V,67,V
06-04-2016,24:00,21,V,20,V,5.6,V,18.6,V,63,V
07-04-2016,24:00,28,V,21,V,4.4,V,18.7,V,57,V
08-04-2016,24:00,39,V,19,V,4.5,V,19,V,60,V
09-04-2016,24:00,34,V,7,V,3.6,V,18.1,V,64,V
10-04-2016,24:00,16,V,7,V,3.4,V,18.7,V,53,V
11-04-2016,24:00,,N,7,V,1.2,V,,N,,N
12-04-2016,24:00,,N,294,V,1.4,V,,N,,N
13-04-2016,24:00,13,V,153,V,1.6,V,19.4,V,61,V
14-04-2016,24:00,12,V,177,V,2.1,V,20.2,V,60,V
15-04-2016,24:00,15,V,175,V,2.6,V,19.6,V,68,V
16-04-2016,24:00,14,V,178,V,1.7,V,21,V,67,V
17-04-2016,24:00,14,V,178,V,2,V,20.7,V,72,V
18-04-2016,24:00,17,V,180,V,2.8,V,20.8,V,66,V
19-04-2016,24:00,22,V,294,V,3.2,V,20.1,V,58,V
20-04-2016,24:00,18,V,40,V,2.9,V,20.1,V,56,V
21-04-2016,24:00,14,V,136,V,1.5,V,20.5,V,60,V
