Fecha,Hora,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag
01-04-2018,24:00,,N,72,V,21,V,,N,,N
02-04-2018,24:00,,N,65,V,24,V,,N,,N
03-04-2018,24:00,,N,72,V,19,V,,N,,N
04-04-2018,24:00,,N,81,V,28,V,,N,,N
05-04-2018,24:00,,N,87,V,,N,,N,,N
06-04-2018,24:00,,N,78,V,,N,,N,,N
07-04-2018,24:00,,N,94,V,24,V,,N,,N
08-04-2018,24:00,,N,91,V,39,V,,N,,N
09-04-2018,24:00,,N,93,V,53,V,,N,,N
10-04-2018,24:00,,N,87,V,34,V,,N,,N
11-04-2018,24:00,,N,63,V,21,V,,N,,N
12-04-2018,24:00,,N,57,V,22,V,,N,,N
13-04-2018,24:00,,N,90,V,32,V,,N,,N
14-04-2018,24:00,,N,87,V,30,V,,N,,N
15-04-2018,24:00,,N,89,V,28,V,,N,,N
16-04-2018,24:00,,N,52,V,21,V,,N,,N
17-04-2018,24:00,,N,65,V,34,V,,N,,N
18-04-2018,24:00,,N,67,V,70,V,,N,,N
19-04-2018,24:00,,N,77,V,36,V,,N,,N
20-04-2018,24:00,,N,97,V,28,V,,N,,N
21-04-2018,24:00,,N,90,V,22,V,,N,,N
22-04-2018,24:00,,N,93,V,29,V,,N,,N
23-04-2018,24:00,,N,89,V,23,V,,N,,N
24-04-2018,24:00,,N,89,V,24,V,,N,,N
25-04-2018,24:00,,N,79,V,38,V,,N,,N
26-04-2018,24:00,,N,73,V,30,V,,N,,N
27-04-2018,24:00,,N,89,V,45,V,,N,,N
28-04-2018,24:00,,N,75,V,28,V,,N,,N
29-04-2018,24:00,,N,96,V,28,V,,N,,N
30-04-2018,24:00,,N,90,V,23,V,,N,,N
01-05-2018,24:00,,N,90,V,21,V,,N,,N
02-05-2018,24:00,,N,81,V,21,V,,N,,N
03-05-2018,24:00,,N,70,V,20,V,,N,,N
04-05-2018,24:00,,N,79,V,23,V,,N,,N
05-05-2018,24:00,,N,96,V,25,V,,N,,N
06-05-2018,24:00,,N,87,V,17,V,,N,,N
07-05-2018,24:00,,N,86,V,23,V,,N,,N
08-05-2018,24:00,,N,96,V,31,V,,N,,N
09-05-2018,24:00,,N,90,V,36,V,,N,,N
10-05-2018,24:00,,N,87,V,31,V,,N,,N
11-05-2018,24:00,,N,94,V,34,V,,N,,N
12-05-2018,24:00,,N,79,V,36,V,,N,,N
13-05-2018,24:00,,N,91,V,46,V,,N,,N
14-05-2018,24:00,,N,88,V,52,V,,N,,N
15-05-2018,24:00,,N,74,V,44,V,,N,,N
16-05-2018,24:00,,N,82,V,38,V,,N,,N
17-05-2018,24:00,,N,85,V,28,V,,N,,N
18-05-2018,24:00,,N,92,V,30,V,,N,,N
19-05-2018,24:00,,N,108,V,29,V,,N,,N
20-05-2018,24:00,,N,108,V,23,V,,N,,N
21-05-2018,24:00,,N,96,V,26,V,,N,,N
22-05-2018,24:00,,N,,N,,N,,N,,N
23-05-2018,24:00,,N,72,V,16,V,,N,,N
24-05-2018,24:00,,N,75,V,22,V,,N,,N
25-05-2018,24:00,,N,,N,,N,,N,,N
26-05-2018,24:00,0.2,V,101,V,26,V,0.2,V,0.3,V
27-05-2018,24:00,0.2,V,101,V,25,V,0.2,V,0.2,V
28-05-2018,24:00,0.2,V,99,V,27,V,0.2,V,0.2,V
29-05-2018,24:00,0.2,V,93,V,27,V,0.2,V,0.3,V
30-05-2018,24:00,0.2,V,57,V,19,V,0.2,V,0.2,V
31-05-2018,24:00,,D,,N,24,V,,D,,D
01-06-2018,24:00,,D,56,V,25,V,,D,,D
02-06-2018,24:00,0.2,V,83,V,28,V,0.2,V,0.2,V
03-06-2018,24:00,0.2,V,76,V,23,V,0.2,V,0.2,V
04-06-2018,24:00,,D,67,V,25,V,,D,,D
05-06-2018,24:00,,D,,N,28,V,,D,,D
06-06-2018,24:00,,D,45,V,19,V,,D,,D
07-06-2018,24:00,,D,48,V,16,V,,D,,D
08-06-2018,24:00,,N,,N,,N,,N,,N
09-06-2018,24:00,0.2,V,73,V,17,V,0.2,V,0.3,V
10-06-2018,24:00,0.2,V,70,V,18,V,0.2,V,0.2,V
11-06-2018,24:00,0.2,V,76,V,22,V,0.2,V,0.2,V
12-06-2018,24:00,,D,59,V,16,V,,D,,D
13-06-2018,24:00,,D,73,V,25,V,,D,,D
14-06-2018,24:00,0.2,V,77,V,29,V,0.2,V,0.2,V
15-06-2018,24:00,,N,,N,,N,,N,,N
16-06-2018,24:00,0.2,V,67,V,27,V,0.2,V,0.2,V
17-06-2018,24:00,0.2,V,67,V,25,V,0.2,V,0.2,V
18-06-2018,24:00,0.2,V,56,V,11,V,0.2,V,0.3,V
19-06-2018,24:00,0.2,V,72,V,18,V,0.2,V,0.2,V
20-06-2018,24:00,0.2,V,66,V,20,V,0.2,V,0.3,V
21-06-2018,24:00,,N,,N,,N,,N,,N
22-06-2018,24:00,0.2,V,54,V,20,V,0.2,V,0.2,V
23-06-2018,24:00,0.3,V,38,V,14,V,0.2,V,0.2,V
24-06-2018,24:00,0.3,V,,D,12,V,0.2,V,0.3,V
25-06-2018,24:00,0.2,V,,D,11,V,0.2,V,0.5,V
26-06-2018,24:00,0.2,V,,D,17,V,0.2,V,0.3,V
27-06-2018,24:00,0.2,V,,D,21,V,0.2,V,0.2,V
28-06-2018,24:00,0.2,V,39,V,18,V,0.2,V,0.3,V
29-06-2018,24:00,,N,,N,,N,,N,,N
30-06-2018,24:00,0.2,V,50,V,19,V,0.2,V,0.2,V
01-07-2018,24:00,0.2,V,52,V,14,V,0.2,V,0.2,V
02-07-2018,24:00,0.2,V,71,V,26,V,0.2,V,0.2,V
03-07-2018,24:00,,N,,N,,N,,N,,N
04-07-2018,24:00,0.2,V,66,V,,D,0.2,V,0.3,V
05-07-2018,24:00,0.2,V,58,V,,D,0.2,V,0.3,V
06-07-2018,24:00,0.2,V,66,V,,N,0.2,V,0.3,V
07-07-2018,24:00,0.2,V,52,V,33,V,0.2,V,0.2,V
08-07-2018,24:00,0.2,V,48,V,31,V,0.2,V,0.2,V
09-07-2018,24:00,0.2,V,43,V,34,V,0.2,V,0.3,V
10-07-2018,24:00,0.2,V,56,V,37,V,0.2,V,0.6,V
11-07-2018,24:00,0.2,V,59,V,35,V,0.2,V,0.4,V
12-07-2018,24:00,0.2,V,72,V,30,V,0.2,V,0.2,V
13-07-2018,24:00,0.2,V,62,V,27,V,0.2,V,0.2,V
14-07-2018,24:00,0.2,V,49,V,20,V,0.2,V,0.2,V
15-07-2018,24:00,0.2,V,44,V,21,V,0.2,V,0.2,V
16-07-2018,24:00,0.2,V,62,V,35,V,0.2,V,0.2,V
17-07-2018,24:00,0.2,V,66,V,33,V,0.2,V,0.2,V
18-07-2018,24:00,0.2,V,50,V,32,V,0.2,V,0.3,V
