Fecha,Hora,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag
15-08-2015,24:00,0.1,V,0.2,V,,N,4,V,0.2,V
16-08-2015,24:00,0.1,V,0.2,V,,N,4,V,0.2,V
17-08-2015,24:00,0.1,V,0.2,V,,N,2,V,0.7,V
18-08-2015,24:00,0.1,V,0.2,V,,N,2,V,1.3,V
19-08-2015,24:00,0.1,V,0.2,V,,N,3,V,1,V
20-08-2015,24:00,0.1,V,0.2,V,,N,3,V,0.3,V
21-08-2015,24:00,0.1,V,0.2,V,,N,4,V,0.3,V
22-08-2015,24:00,0.1,V,0.2,V,,N,4,V,0.2,V
23-08-2015,24:00,0.1,V,0.2,V,,N,4,V,0.2,V
24-08-2015,24:00,0.1,V,0.2,V,,N,3,V,0.3,V
25-08-2015,24:00,0.1,V,0.2,V,,N,4,V,0.3,V
26-08-2015,24:00,0.1,V,0.2,V,,N,4,V,0.2,V
27-08-2015,24:00,0.1,V,0.2,V,,N,3,V,0.3,V
28-08-2015,24:00,0.1,V,0.2,V,17,V,3,V,0.2,V
29-08-2015,24:00,0.1,V,0.2,V,22,V,3,V,0.2,V
30-08-2015,24:00,0.1,V,0.2,V,16,V,4,V,0.2,V
31-08-2015,24:00,0.1,V,0.2,V,16,V,3,V,0.3,V
01-09-2015,24:00,0.1,V,0.2,V,18,V,3,V,0.3,V
02-09-2015,24:00,0.1,V,0.2,V,18,V,3,V,0.3,V
03-09-2015,24:00,0.1,V,0.2,V,26,V,4,V,0.3,V
04-09-2015,24:00,0.1,V,0.2,V,25,V,3,V,0.3,V
05-09-2015,24:00,0.1,V,0.2,V,22,V,3,V,0.2,V
06-09-2015,24:00,0.1,V,0.2,V,15,V,3,V,0.3,V
07-09-2015,24:00,0.1,V,0.2,V,20,V,3,V,0.3,V
08-09-2015,24:00,0.1,V,0.2,V,19,V,3,V,0.3,V
09-09-2015,24:00,0.1,V,0.2,V,20,V,4,V,0.3,V
10-09-2015,24:00,0.1,V,0.2,V,22,V,4,V,0.3,V
11-09-2015,24:00,0.1,V,0.2,V,18,V,3,V,0.3,V
12-09-2015,24:00,,N,,N,,N,,N,,N
13-09-2015,24:00,0.1,V,0.2,V,15,V,3,V,0.2,V
14-09-2015,24:00,0.1,V,0.2,V,20,V,3,V,0.3,V
15-09-2015,24:00,0.1,V,0.2,V,16,V,3,V,0.3,V
16-09-2015,24:00,0.1,V,0.2,V,13,V,3,V,0.5,V
17-09-2015,24:00,0.1,V,0.2,V,13,V,2,V,0.4,V
18-09-2015,24:00,0.1,V,0.2,V,16,V,3,V,0.4,V
19-09-2015,24:00,0.1,V,0.2,V,19,V,3,V,0.3,V
20-09-2015,24:00,0.1,V,0.2,V,22,V,4,V,0.3,V
21-09-2015,24:00,0.1,V,0.2,V,47,V,10,V,0.5,V
22-09-2015,24:00,0.1,V,0.2,V,57,V,14,V,1.1,V
23-09-2015,24:00,,N,,N,,N,,N,,N
24-09-2015,24:00,,N,,N,,N,,N,,N
25-09-2015,24:00,0.1,V,0.2,V,39,V,8,V,0.2,V
26-09-2015,24:00,0.1,V,,N,27,V,5,V,,N
27-09-2015,24:00,0.1,V,,N,24,V,5,V,,N
28-09-2015,24:00,0.1,V,,N,30,V,7,V,,N
29-09-2015,24:00,0.1,V,,N,27,V,6,V,,N
30-09-2015,24:00,0.1,V,,N,27,V,6,V,,N
01-10-2015,24:00,0.1,V,,N,28,V,7,V,,N
02-10-2015,24:00,0.1,V,,N,36,V,10,V,,N
03-10-2015,24:00,0.2,V,,N,30,V,7,V,,N
04-10-2015,24:00,0.2,V,,N,43,V,10,V,,N
05-10-2015,24:00,0.2,V,,N,71,V,14,V,,N
06-10-2015,24:00,0.1,V,,N,41,V,9,V,,N
07-10-2015,24:00,0.2,V,,N,20,V,4,V,,N
08-10-2015,24:00,0.1,V,,N,17,V,3,V,,N
09-10-2015,24:00,0.2,V,,N,16,V,3,V,,N
10-10-2015,24:00,0.2,V,,N,14,V,3,V,,N
11-10-2015,24:00,0.1,V,,N,9,V,2,V,,N
12-10-2015,24:00,0.1,V,,N,11,V,3,V,,N
13-10-2015,24:00,0.1,V,,N,19,V,,N,,N
14-10-2015,24:00,0.1,V,,N,22,V,,N,,N
15-10-2015,24:00,,N,,N,27,V,,N,,N
16-10-2015,24:00,0.1,V,0.2,V,34,V,4,V,0.4,V
17-10-2015,24:00,0.1,V,0.2,V,16,V,2,V,0.4,V
18-10-2015,24:00,0.1,V,0.2,V,14,V,2,V,0.5,V
19-10-2015,24:00,0.1,V,0.2,V,20,V,4,V,0.5,V
20-10-2015,24:00,0.1,V,0.2,V,17,V,3,V,0.5,V
21-10-2015,24:00,0.1,V,0.2,V,17,V,3,V,0.8,V
22-10-2015,24:00,0.1,V,0.2,V,24,V,4,V,1.2,V
23-10-2015,24:00,0.1,V,0.2,V,33,V,9,V,0.3,V
24-10-2015,24:00,0.1,V,0.2,V,13,V,2,V,0.8,V
25-10-2015,24:00,0.1,V,0.2,V,13,V,3,V,0.6,V
26-10-2015,24:00,0.1,V,0.2,V,16,V,3,V,1,V
27-10-2015,24:00,0.1,V,0.2,V,18,V,3,V,1,V
28-10-2015,24:00,0.1,V,0.2,V,14,V,2,V,0.4,V
29-10-2015,24:00,0.1,V,0.2,V,15,V,2,V,0.5,V
30-10-2015,24:00,0.1,V,0.2,V,14,V,2,V,0.9,V
31-10-2015,24:00,0.1,V,0.2,V,14,V,3,V,0.6,V
01-11-2015,24:00,0.1,V,0.2,V,15,V,3,V,0.3,V
02-11-2015,24:00,0.1,V,0.2,V,12,V,3,V,0.7,V
03-11-2015,24:00,0.1,V,0.2,V,15,V,3,V,0.8,V
04-11-2015,24:00,0.1,V,0.2,V,12,V,3,V,0.9,V
05-11-2015,24:00,0.1,V,0.2,V,13,V,3,V,0.4,V
06-11-2015,24:00,0.1,V,0.2,V,17,V,3,V,0.4,V
07-11-2015,24:00,0.1,V,0.2,V,20,V,4,V,0.2,V
08-11-2015,24:00,0.1,V,0.2,V,28,V,6,V,0.2,V
09-11-2015,24:00,0.1,V,0.2,V,61,V,10,V,0.6,V
10-11-2015,24:00,0.1,V,0.2,V,42,V,7,V,0.4,V
11-11-2015,24:00,0.1,V,0.2,V,54,V,10,V,0.5,V
12-11-2015,24:00,0.1,V,0.2,V,58,V,10,V,0.4,V
13-11-2015,24:00,0.1,V,0.2,V,51,V,13,V,0.5,V
14-11-2015,24:00,0.1,V,0.2,V,43,V,10,V,0.4,V
15-11-2015,24:00,0.1,V,0.2,V,37,V,8,V,0.3,V
16-11-2015,24:00,0.1,V,0.2,V,50,V,10,V,0.6,V
17-11-2015,24:00,0.1,V,0.2,V,30,V,6,V,0.3,V
18-11-2015,24:00,0.1,V,0.2,V,51,V,11,V,0.3,V
19-11-2015,24:00,0.1,V,0.2,V,50,V,11,V,0.5,V
20-11-2015,24:00,0.1,V,0.2,V,45,V,12,V,0.3,V
21-11-2015,24:00,0.1,V,0.2,V,31,V,8,V,0.3,V
22-11-2015,24:00,0.1,V,0.2,V,28,V,6,V,0.2,V
23-11-2015,24:00,0.1,V,0.2,V,24,V,5,V,0.3,V
24-11-2015,24:00,0.1,V,0.2,V,26,V,5,V,0.3,V
25-11-2015,24:00,0.1,V,0.2,V,28,V,6,V,0.3,V
26-11-2015,24:00,0.1,V,0.2,V,26,V,6,V,0.3,V
27-11-2015,24:00,0.1,V,0.2,V,29,V,6,V,0.4,V
28-11-2015,24:00,0.1,V,0.2,V,25,V,5,V,0.3,V
29-11-2015,24:00,0.1,V,0.2,V,27,V,7,V,0.3,V
30-11-2015,24:00,0.1,V,0.2,V,74,V,12,V,1.6,V
01-12-2015,24:00,0.1,V,0.2,V,66,V,11,V,1.4,V
02-12-2015,24:00,0.1,V,0.2,V,44,V,9,V,0.7,V
03-12-2015,24:00,0.1,V,0.2,V,65,V,10,V,1.1,V
04-12-2015,24:00,0.1,V,0.2,V,40,V,7,V,0.5,V
05-12-2015,24:00,0.1,V,0.2,V,25,V,6,V,4.3,V
06-12-2015,24:00,0.1,V,0.2,V,35,V,7,V,26,V
07-12-2015,24:00,0.1,V,0.2,V,56,V,11,V,20,V
08-12-2015,24:00,0.1,V,0.2,V,40,V,8,V,1.2,V
09-12-2015,24:00,,N,,N,41,V,7,V,,N
10-12-2015,24:00,0.1,V,0.2,V,33,V,7,V,0.6,V
11-12-2015,24:00,0.1,V,0.2,V,53,V,9,V,0.6,V
12-12-2015,24:00,0.1,V,0.2,V,48,V,10,V,1.4,V
13-12-2015,24:00,0.1,V,0.2,V,56,V,10,V,0.9,V
14-12-2015,24:00,0.1,V,0.2,V,71,V,15,V,0.9,V
15-12-2015,24:00,0.1,V,0.2,V,121,V,20,V,0.9,V
16-12-2015,24:00,0.1,V,0.2,V,81,V,14,V,1,V
17-12-2015,24:00,0.1,V,0.2,V,29,V,6,V,1.1,V
18-12-2015,24:00,0.2,V,0.2,V,21,V,6,V,1.9,V
19-12-2015,24:00,0.1,V,0.2,V,25,V,7,V,1.6,V
20-12-2015,24:00,0.1,V,0.2,V,27,V,6,V,0.7,V
21-12-2015,24:00,0.1,V,0.2,V,32,V,7,V,0.4,V
22-12-2015,24:00,0.1,V,0.2,V,36,V,7,V,0.4,V
23-12-2015,24:00,0.1,V,0.2,V,39,V,9,V,0.5,V
24-12-2015,24:00,0.1,V,0.2,V,32,V,7,V,0.3,V
25-12-2015,24:00,0.1,V,0.2,V,63,V,13,V,0.6,V
26-12-2015,24:00,0.1,V,0.2,V,79,V,16,V,0.6,V
27-12-2015,24:00,0.1,V,0.2,V,99,V,18,V,0.4,V
28-12-2015,24:00,0.1,V,0.2,V,98,V,20,V,1.1,V
29-12-2015,24:00,0.1,V,0.2,V,35,V,7,V,0.6,V
30-12-2015,24:00,0.1,V,0.2,V,51,V,9,V,0.6,V
31-12-2015,24:00,0.1,V,0.2,V,49,V,11,V,0.5,V
