Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag
25-01-2016,24:00,67,V,0.8,V,0.2,V,1.5,V,7,V
26-01-2016,24:00,76,V,0.4,V,0.2,V,0.8,V,9,V
27-01-2016,24:00,72,V,0.4,V,0.2,V,2.2,V,8,V
28-01-2016,24:00,83,V,0.4,V,0.2,V,0.7,V,4,V
29-01-2016,24:00,86,V,0.5,V,0.2,V,0.5,V,6,V
30-01-2016,24:00,86,V,0.4,V,0.2,V,0.4,V,6,V
31-01-2016,24:00,80,V,0.4,V,0.2,V,0.5,V,8,V
01-02-2016,24:00,73,V,0.7,V,0.2,V,1.3,V,8,V
02-02-2016,24:00,62,V,0.7,V,0.2,V,1.1,V,9,V
03-02-2016,24:00,75,V,0.5,V,0.2,V,0.7,V,6,V
04-02-2016,24:00,76,V,0.5,V,0.2,V,0.7,V,7,V
05-02-2016,24:00,71,V,0.5,V,0.2,V,1,V,8,V
06-02-2016,24:00,57,V,0.5,V,0.2,V,0.8,V,7,V
07-02-2016,24:00,71,V,0.5,V,0.2,V,0.5,V,5,V
08-02-2016,24:00,67,V,0.4,V,0.2,V,0.4,V,3,V
09-02-2016,24:00,72,V,0.3,V,0.2,V,0.4,V,4,V
10-02-2016,24:00,72,V,0.3,V,0.2,V,0.5,V,3,V
11-02-2016,24:00,67,V,0.3,V,0.2,V,0.5,V,2,V
12-02-2016,24:00,60,V,0.3,V,0.2,V,0.4,V,3,V
13-02-2016,24:00,56,V,0.3,V,0.2,V,0.5,V,3,V
14-02-2016,24:00,64,V,0.2,V,0.2,V,0.3,V,7,V
15-02-2016,24:00,84,V,0.4,V,0.2,V,0.3,V,8,V
16-02-2016,24:00,,N,,N,,N,,N,6,V
17-02-2016,24:00,88,V,0.5,V,0.2,V,0.4,V,4,V
18-02-2016,24:00,76,V,0.5,V,0.2,V,0.6,V,3,V
19-02-2016,24:00,81,V,0.5,V,0.2,V,0.4,V,3,V
20-02-2016,24:00,81,V,0.5,V,0.2,V,0.6,V,4,V
21-02-2016,24:00,81,V,0.6,V,0.2,V,0.9,V,4,V
22-02-2016,24:00,75,V,0.6,V,0.2,V,0.9,V,4,V
23-02-2016,24:00,88,V,0.5,V,0.2,V,0.6,V,4,V
24-02-2016,24:00,91,V,0.4,V,0.2,V,0.4,V,8,V
25-02-2016,24:00,81,V,0.3,V,0.2,V,0.5,V,5,V
26-02-2016,24:00,84,V,0.4,V,0.2,V,0.3,V,2,V
27-02-2016,24:00,81,V,0.4,V,0.2,V,0.2,V,4,V
28-02-2016,24:00,79,V,0.4,V,0.2,V,0.2,V,3,V
