Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag
17-02-2011,24:00,80,V,0.3,V,2.1,V,0.6,V,19,V
18-02-2011,24:00,80,V,0.3,V,2.1,V,0.6,V,16,V
19-02-2011,24:00,80,V,0.3,V,1.8,V,0.5,V,8,V
20-02-2011,24:00,70,V,0.3,V,1.5,V,0.5,V,6,V
21-02-2011,24:00,82,V,0.3,V,1.4,V,0.5,V,29,V
22-02-2011,24:00,85,V,0.3,V,2.3,V,0.5,V,34,V
23-02-2011,24:00,88,V,0.3,V,2.2,V,0.6,V,30,V
24-02-2011,24:00,87,V,0.3,V,1.8,V,0.6,V,22,V
25-02-2011,24:00,91,V,0.3,V,1.5,V,0.5,V,22,V
26-02-2011,24:00,90,V,0.3,V,1.3,V,0.5,V,29,V
27-02-2011,24:00,99,V,0.3,V,1.3,V,0.4,V,25,V
28-02-2011,24:00,90,V,0.3,V,,N,0.6,V,29,V
01-03-2011,24:00,97,V,0.3,V,0.9,V,1.3,V,43,V
02-03-2011,24:00,103,V,0.3,V,4.6,V,0.6,V,25,V
03-03-2011,24:00,101,V,0.4,V,3.5,V,0.6,V,20,V
04-03-2011,24:00,97,V,0.5,V,4,V,0.7,V,12,V
05-03-2011,24:00,92,V,0.5,V,4.2,V,8.2,V,11,V
06-03-2011,24:00,85,V,0.4,V,4.8,V,1.9,V,6,V
07-03-2011,24:00,,M,,M,,M,,M,8,V
08-03-2011,24:00,85,V,0.7,V,3.1,V,1.3,V,14,V
09-03-2011,24:00,68,V,0.8,V,3.2,V,1.4,V,13,V
10-03-2011,24:00,67,V,0.9,V,4,V,2,V,8,V
11-03-2011,24:00,78,V,1.1,V,4.7,V,1.5,V,9,V
12-03-2011,24:00,96,V,0.5,V,1.8,V,0.8,V,14,V
13-03-2011,24:00,82,V,0.5,V,2,V,0.6,V,7,V
14-03-2011,24:00,77,V,0.6,V,3.9,V,0.9,V,5,V
15-03-2011,24:00,82,V,0.5,V,2.5,V,0.6,V,7,V
16-03-2011,24:00,78,V,,N,,N,,N,9,V
17-03-2011,24:00,79,V,,N,,N,,N,10,V
18-03-2011,24:00,84,V,0.5,V,1.9,V,0.6,V,18,V
19-03-2011,24:00,72,V,0.6,V,2.8,V,1.1,V,23,V
20-03-2011,24:00,82,V,0.4,V,1.1,V,0.6,V,61,V
21-03-2011,24:00,78,V,0.5,V,1.1,V,0.8,V,38,V
22-03-2011,24:00,86,V,0.4,V,0.8,V,0.6,V,41,V
23-03-2011,24:00,93,V,0.8,V,2.3,V,0.8,V,35,V
24-03-2011,24:00,87,V,0.4,V,1.6,V,0.6,V,25,V
25-03-2011,24:00,80,V,0.4,V,1.6,V,0.6,V,19,V
26-03-2011,24:00,71,V,0.3,V,1.1,V,0.5,V,16,V
27-03-2011,24:00,85,V,0.3,V,0.9,V,0.4,V,9,V
28-03-2011,24:00,89,V,0.3,V,1,V,0.5,V,16,V
29-03-2011,24:00,84,V,0.3,V,1.1,V,0.5,V,20,V
30-03-2011,24:00,71,V,0.3,V,0.9,V,0.5,V,19,V
31-03-2011,24:00,70,V,0.6,V,2.1,V,1.2,V,36,V
01-04-2011,24:00,63,V,0.5,V,2.4,V,1.2,V,41,V
02-04-2011,24:00,85,V,0.3,V,0.6,V,0.4,V,32,V
03-04-2011,24:00,87,V,0.3,V,0.7,V,0.4,V,15,V
04-04-2011,24:00,91,V,0.3,V,1.3,V,0.4,V,24,V
05-04-2011,24:00,92,V,0.4,V,1.7,V,0.5,V,21,V
06-04-2011,24:00,83,V,0.4,V,1.3,V,0.6,V,20,V
07-04-2011,24:00,63,V,0.3,V,1.6,V,0.6,V,32,V
08-04-2011,24:00,76,V,0.4,V,1.7,V,0.7,V,16,V
09-04-2011,24:00,82,V,0.3,V,0.7,V,0.4,V,16,V
10-04-2011,24:00,82,V,0.3,V,0.8,V,0.4,V,23,V
11-04-2011,24:00,87,V,0.3,V,0.7,V,0.4,V,28,V
12-04-2011,24:00,92,V,0.3,V,0.6,V,0.5,V,33,V
13-04-2011,24:00,90,V,0.3,V,0.6,V,0.4,V,35,V
14-04-2011,24:00,85,V,0.4,V,,N,,N,36,V
15-04-2011,24:00,83,V,0.4,V,5,V,32,V,28,V
