Fecha,Hora,Casa Palacio-Puerto del Rosario O3 (µg/m³),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario TOL (µg/m³),Flag,Casa Palacio-Puerto del Rosario PM10 (µg/m³),Flag,Casa Palacio-Puerto del Rosario m-p XIL (µg/m³),Flag
19-02-2014,24:00,86,V,0.4,V,1.1,V,25,V,0.2,V
20-02-2014,24:00,79,V,0.3,V,1.3,V,22,V,0.2,V
21-02-2014,24:00,61,V,0.2,V,1.5,V,18,V,0.2,V
22-02-2014,24:00,84,V,0.3,V,1.6,V,22,V,0.2,V
23-02-2014,24:00,86,V,0.4,V,1.6,V,27,V,0.2,V
24-02-2014,24:00,86,V,0.4,V,1.7,V,20,V,0.2,V
25-02-2014,24:00,89,V,0.4,V,5.2,V,26,V,0.2,V
26-02-2014,24:00,86,V,0.4,V,1.3,V,29,V,0.2,V
27-02-2014,24:00,92,V,0.4,V,1.3,V,41,V,0.2,V
28-02-2014,24:00,86,V,0.4,V,1.3,V,33,V,0.2,V
01-03-2014,24:00,79,V,0.3,V,1.3,V,21,V,0.2,V
02-03-2014,24:00,72,V,0.2,V,1.1,V,19,V,0.2,V
03-03-2014,24:00,75,V,0.2,V,1.1,V,24,V,0.2,V
04-03-2014,24:00,89,V,0.3,V,1,V,31,V,0.2,V
05-03-2014,24:00,80,V,0.3,V,1.3,V,40,V,0.2,V
06-03-2014,24:00,72,V,0.3,V,2.3,V,33,V,0.2,V
07-03-2014,24:00,75,V,0.3,V,8.3,V,32,V,0.2,V
08-03-2014,24:00,78,V,0.4,V,1.9,V,38,V,0.2,V
09-03-2014,24:00,74,V,0.4,V,1.7,V,26,V,0.2,V
10-03-2014,24:00,86,V,0.4,V,1.2,V,20,V,0.2,V
11-03-2014,24:00,87,V,0.4,V,1.5,V,24,V,0.2,V
12-03-2014,24:00,104,V,0.4,V,2.3,V,37,V,0.2,V
13-03-2014,24:00,108,V,0.5,V,1.6,V,33,V,0.2,V
14-03-2014,24:00,107,V,0.5,V,2,V,34,V,0.2,V
15-03-2014,24:00,112,V,0.5,V,1.6,V,35,V,0.2,V
16-03-2014,24:00,,N,0.5,V,1.9,V,59,V,0.2,V
17-03-2014,24:00,,M,0.5,V,1.7,V,79,V,0.2,V
18-03-2014,24:00,,M,0.4,V,1.8,V,51,V,0.2,V
19-03-2014,24:00,,M,0.3,V,1.6,V,51,V,0.2,V
20-03-2014,24:00,,M,0.2,V,1.3,V,33,V,0.2,V
21-03-2014,24:00,,M,0.3,V,1.1,V,21,V,0.2,V
22-03-2014,24:00,,M,0.2,V,1,V,22,V,0.2,V
23-03-2014,24:00,,M,0.3,V,1,V,19,V,0.2,V
24-03-2014,24:00,,M,0.3,V,1.5,V,32,V,0.2,V
25-03-2014,24:00,,M,0.3,V,1.5,V,36,V,0.2,V
26-03-2014,24:00,103,V,0.3,V,1.5,V,49,V,0.2,V
27-03-2014,24:00,102,V,0.3,V,1.6,V,29,V,0.2,V
28-03-2014,24:00,97,V,0.4,V,1.6,V,24,V,0.2,V
29-03-2014,24:00,98,V,0.3,V,1.4,V,23,V,0.2,V
30-03-2014,24:00,87,V,0.4,V,,N,18,V,0.2,V
31-03-2014,24:00,67,V,0.5,V,2.1,V,21,V,0.2,V
01-04-2014,24:00,84,V,0.4,V,1.8,V,26,V,0.2,V
