Fecha,Hora,Casa Palacio-Puerto del Rosario NO (µg/m³),Flag,Casa Palacio-Puerto del Rosario NO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario SO2 (µg/m³),Flag,Casa Palacio-Puerto del Rosario CO (mg/m³),Flag,Casa Palacio-Puerto del Rosario NOX (µg/m³),Flag
08-03-2017,24:00,7,V,15,V,1,V,0.1,V,26,V
09-03-2017,24:00,13,V,24,V,6,V,0.1,V,43,V
10-03-2017,24:00,11,V,33,V,3,V,0.1,V,50,V
11-03-2017,24:00,16,V,23,V,4,V,0.1,V,48,V
12-03-2017,24:00,6,V,9,V,1,V,0.1,V,18,V
13-03-2017,24:00,7,V,9,V,1,V,0.1,V,19,V
14-03-2017,24:00,6,V,9,V,1,V,0.2,V,18,V
15-03-2017,24:00,7,V,14,V,1,V,0.4,V,24,V
16-03-2017,24:00,6,V,14,V,1,V,0.4,V,23,V
17-03-2017,24:00,6,V,13,V,1,V,0.4,V,22,V
18-03-2017,24:00,6,V,18,V,1,V,0.4,V,28,V
19-03-2017,24:00,6,V,9,V,1,V,0.3,V,18,V
20-03-2017,24:00,6,V,9,V,1,V,0.3,V,19,V
21-03-2017,24:00,7,V,10,V,1,V,0.3,V,19,V
22-03-2017,24:00,7,V,9,V,1,V,0.3,V,19,V
23-03-2017,24:00,7,V,9,V,1,V,0.3,V,19,V
24-03-2017,24:00,7,V,11,V,1,V,0.3,V,21,V
25-03-2017,24:00,7,V,12,V,1,V,0.4,V,22,V
26-03-2017,24:00,7,V,15,V,1,V,0.4,V,27,V
27-03-2017,24:00,8,V,14,V,1,V,0.4,V,25,V
28-03-2017,24:00,7,V,12,V,1,V,0.4,V,23,V
29-03-2017,24:00,7,V,12,V,1,V,0.4,V,23,V
30-03-2017,24:00,9,V,20,V,1,V,0.4,V,35,V
31-03-2017,24:00,6,V,12,V,1,V,0.4,V,21,V
01-04-2017,24:00,7,V,9,V,1,V,0.4,V,20,V
02-04-2017,24:00,7,V,9,V,1,V,0.4,V,19,V
03-04-2017,24:00,8,V,16,V,1,V,0.4,V,28,V
04-04-2017,24:00,7,V,11,V,1,V,0.4,V,22,V
05-04-2017,24:00,6,V,10,V,1,V,0.3,V,20,V
06-04-2017,24:00,6,V,11,V,1,V,0.3,V,19,V
07-04-2017,24:00,6,V,11,V,1,V,0.3,V,20,V
08-04-2017,24:00,9,V,13,V,1,V,0.3,V,26,V
09-04-2017,24:00,5,V,10,V,1,V,0.3,V,18,V
10-04-2017,24:00,6,V,14,V,1,V,0.3,V,23,V
11-04-2017,24:00,7,V,14,V,1,V,0.3,V,25,V
12-04-2017,24:00,7,V,13,V,1,V,0.3,V,23,V
13-04-2017,24:00,4,V,8,V,1,V,0.3,V,15,V
14-04-2017,24:00,5,V,8,V,1,V,0.3,V,15,V
15-04-2017,24:00,5,V,8,V,1,V,0.3,V,15,V
16-04-2017,24:00,4,V,8,V,1,V,0.3,V,15,V
17-04-2017,24:00,29,V,28,V,3,V,0.5,V,72,V
18-04-2017,24:00,31,V,32,V,3,V,0.5,V,79,V
19-04-2017,24:00,9,V,22,V,2,V,0.3,V,36,V
20-04-2017,24:00,5,V,12,V,2,V,0.3,V,20,V
21-04-2017,24:00,6,V,13,V,1,V,0.3,V,22,V
22-04-2017,24:00,5,V,9,V,1,V,0.2,V,16,V
23-04-2017,24:00,6,V,8,V,1,V,0.3,V,17,V
24-04-2017,24:00,7,V,10,V,1,V,0.3,V,21,V
25-04-2017,24:00,5,V,11,V,1,V,0.3,V,18,V
26-04-2017,24:00,6,V,15,V,1,V,0.3,V,24,V
27-04-2017,24:00,5,V,11,V,2,V,0.3,V,19,V
28-04-2017,24:00,6,V,11,V,1,V,0.3,V,20,V
29-04-2017,24:00,7,V,11,V,1,V,0.3,V,21,V
30-04-2017,24:00,5,V,7,V,1,V,0.2,V,15,V
01-05-2017,24:00,5,V,7,V,1,V,0.2,V,14,V
02-05-2017,24:00,5,V,10,V,1,V,0.2,V,18,V
03-05-2017,24:00,5,V,12,V,1,V,0.3,V,21,V
04-05-2017,24:00,10,V,17,V,2,V,0.3,V,31,V
05-05-2017,24:00,5,V,13,V,1,V,0.2,V,21,V
06-05-2017,24:00,5,V,10,V,1,V,0.2,V,17,V
