Fecha,Hora,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag
04-04-2013,24:00,,N,293,V,2.8,V,55,V,0,V
05-04-2013,24:00,5,V,335,V,3.9,V,53,V,0,V
06-04-2013,24:00,4,V,22,V,3.4,V,50,V,0,V
07-04-2013,24:00,3,V,334,V,2.4,V,51,V,0,V
08-04-2013,24:00,3,V,335,V,2.1,V,63,V,0,V
09-04-2013,24:00,3,V,23,V,3,V,60,V,0,V
10-04-2013,24:00,2,V,23,V,2.5,V,67,V,0,V
11-04-2013,24:00,2,V,22,V,2.7,V,71,V,0,V
12-04-2013,24:00,3,V,23,V,3.3,V,68,V,0,V
13-04-2013,24:00,2,V,23,V,3.4,V,63,V,0,V
14-04-2013,24:00,3,V,334,V,2.3,V,60,V,0,V
15-04-2013,24:00,3,V,23,V,3.2,V,66,V,0,V
16-04-2013,24:00,5,V,23,V,3.2,V,72,V,0,V
17-04-2013,24:00,6,V,22,V,2.9,V,75,V,0,V
18-04-2013,24:00,12,V,22,V,2.2,V,77,V,0,V
19-04-2013,24:00,12,V,22,V,2.2,V,75,V,0,V
20-04-2013,24:00,14,V,180,V,1,V,58,V,0,V
21-04-2013,24:00,14,V,44,V,1.7,V,49,V,0,V
22-04-2013,24:00,8,V,22,V,2.7,V,36,V,0,V
23-04-2013,24:00,6,V,23,V,2.8,V,63,V,0,V
24-04-2013,24:00,7,V,334,V,2.1,V,61,V,0,V
25-04-2013,24:00,5,V,23,V,2.4,V,55,V,0,V
26-04-2013,24:00,4,V,22,V,2,V,64,V,0,V
27-04-2013,24:00,5,V,23,V,2.8,V,63,V,0,V
28-04-2013,24:00,3,V,21,V,3.6,V,58,V,0,V
29-04-2013,24:00,3,V,22,V,4.1,V,49,V,0,V
30-04-2013,24:00,3,V,22,V,3.4,V,50,V,0,V
01-05-2013,24:00,2,V,335,V,3.9,V,52,V,0,V
02-05-2013,24:00,3,V,334,V,4.1,V,,N,0,V
03-05-2013,24:00,4,V,334,V,3.9,V,,N,0,V
04-05-2013,24:00,3,V,22,V,3.2,V,,N,0,V
05-05-2013,24:00,5,V,23,V,3.5,V,,N,0,V
06-05-2013,24:00,5,V,23,V,2.8,V,,N,0,V
07-05-2013,24:00,7,V,158,V,1.4,V,,N,0,V
08-05-2013,24:00,6,V,334,V,1.3,V,,N,0,V
09-05-2013,24:00,5,V,22,V,2.6,V,,N,0,V
10-05-2013,24:00,4,V,21,V,3,V,,M,0,V
11-05-2013,24:00,4,V,22,V,2.9,V,,M,0,V
12-05-2013,24:00,6,V,22,V,2.5,V,,M,0,V
13-05-2013,24:00,6,V,336,V,3.2,V,,M,0,V
14-05-2013,24:00,3,V,335,V,3.7,V,,M,0,V
15-05-2013,24:00,3,V,335,V,4.1,V,,M,0,V
16-05-2013,24:00,2,V,335,V,3.2,V,,M,0,V
17-05-2013,24:00,2,V,317,V,2.5,V,,M,0,V
18-05-2013,24:00,2,V,23,V,3.7,V,,M,0,V
19-05-2013,24:00,4,V,22,V,3.9,V,,M,0,V
20-05-2013,24:00,2,V,21,V,3.8,V,,M,0,V
21-05-2013,24:00,2,V,22,V,3.5,V,,M,0,V
22-05-2013,24:00,2,V,22,V,3.1,V,,M,0,V
23-05-2013,24:00,2,V,23,V,3.5,V,,M,0,V
24-05-2013,24:00,3,V,23,V,3.3,V,,M,0,V
25-05-2013,24:00,3,V,22,V,3.3,V,,M,0,V
26-05-2013,24:00,2,V,21,V,3.9,V,,M,0,V
27-05-2013,24:00,2,V,21,V,3.8,V,,M,0,V
28-05-2013,24:00,2,V,23,V,3.2,V,,M,0,V
29-05-2013,24:00,2,V,22,V,3.1,V,,M,0,V
30-05-2013,24:00,2,V,20,V,3.9,V,,M,0,V
31-05-2013,24:00,2,V,21,V,3.7,V,,M,0,V
01-06-2013,24:00,4,V,8,V,2.9,V,,M,0,V
02-06-2013,24:00,5,V,316,V,3.2,V,,M,0,V
03-06-2013,24:00,3,V,21,V,2.5,V,,M,0,V
04-06-2013,24:00,3,V,8,V,2.3,V,,M,0,V
05-06-2013,24:00,1,V,8,V,2,V,,M,0,V
06-06-2013,24:00,1,V,22,V,3.8,V,,M,0,V
07-06-2013,24:00,3,V,23,V,3.7,V,,M,0,V
08-06-2013,24:00,4,V,22,V,3.9,V,,M,0,V
09-06-2013,24:00,4,V,22,V,3.8,V,,M,0,V
10-06-2013,24:00,3,V,9,V,2.6,V,,M,0,V
11-06-2013,24:00,4,V,9,V,2.7,V,,M,0,V
12-06-2013,24:00,,N,22,V,3.8,V,,M,0,V
13-06-2013,24:00,,N,21,V,3.6,V,,M,0,V
14-06-2013,24:00,,N,316,V,4.3,V,,M,0,V
15-06-2013,24:00,8,V,316,V,3.7,V,,M,0,V
16-06-2013,24:00,8,V,315,V,4.3,V,,M,0,V
17-06-2013,24:00,5,V,22,V,3.6,V,,M,0,V
18-06-2013,24:00,5,V,21,V,3.9,V,,M,0,V
19-06-2013,24:00,7,V,8,V,3.8,V,,M,0,V
20-06-2013,24:00,7,V,21,V,4.7,V,,M,0,V
21-06-2013,24:00,8,V,316,V,4.1,V,,M,0,V
22-06-2013,24:00,7,V,316,V,4.3,V,,M,0,V
23-06-2013,24:00,10,V,316,V,3.5,V,,M,0,V
24-06-2013,24:00,10,V,316,V,2.5,V,,M,0,V
25-06-2013,24:00,,N,316,V,2.3,V,,N,,N
26-06-2013,24:00,,N,335,V,4.4,V,,N,,N
27-06-2013,24:00,9,V,22,V,3.2,V,,M,0,V
28-06-2013,24:00,11,V,22,V,3.2,V,52,V,0,V
29-06-2013,24:00,11,V,22,V,3,V,52,V,0,V
30-06-2013,24:00,10,V,317,V,3.3,V,52,V,0,V
