Fecha,Hora,Casa Palacio-Puerto del Rosario PM2.5 (µg/m³),Flag,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag
23-03-2011,24:00,7,V,335,V,3.1,V,20.4,V,64,V
24-03-2011,24:00,5,V,335,V,2.1,V,19.4,V,67,V
25-03-2011,24:00,4,V,24,V,2.9,V,18.8,V,73,V
26-03-2011,24:00,2,V,335,V,1.7,V,19.3,V,71,V
27-03-2011,24:00,2,V,24,V,3.8,V,19.3,V,64,V
28-03-2011,24:00,3,V,6,V,3,V,19.6,V,65,V
29-03-2011,24:00,4,V,24,V,4.2,V,19.5,V,68,V
30-03-2011,24:00,4,V,24,V,3.7,V,19.7,V,73,V
31-03-2011,24:00,7,V,180,V,1.4,V,20.6,V,77,V
01-04-2011,24:00,7,V,335,V,2.5,V,22,V,60,V
02-04-2011,24:00,5,V,335,V,2.8,V,20.8,V,68,V
03-04-2011,24:00,2,V,6,V,4.6,V,19.5,V,64,V
04-04-2011,24:00,3,V,6,V,4.5,V,18.6,V,54,V
05-04-2011,24:00,3,V,335,V,3.1,V,19.1,V,62,V
06-04-2011,24:00,4,V,157,V,2.3,V,20.2,V,61,V
07-04-2011,24:00,7,V,44,V,1.6,V,22.1,V,69,V
08-04-2011,24:00,2,V,44,V,2.8,V,22.1,V,59,V
09-04-2011,24:00,1,V,24,V,3.8,V,20,V,76,V
10-04-2011,24:00,3,V,24,V,3.9,V,19.7,V,73,V
11-04-2011,24:00,5,V,6,V,3,V,20,V,64,V
12-04-2011,24:00,7,V,6,V,2.9,V,20.8,V,68,V
13-04-2011,24:00,10,V,6,V,1.8,V,20.9,V,68,V
14-04-2011,24:00,7,V,6,V,2.2,V,22.9,V,63,V
15-04-2011,24:00,7,V,158,V,2.3,V,20.7,V,66,V
16-04-2011,24:00,5,V,158,V,2.1,V,21,V,72,V
17-04-2011,24:00,4,V,180,V,2.6,V,22.4,V,70,V
18-04-2011,24:00,2,V,180,V,3,V,23.4,V,57,V
19-04-2011,24:00,3,V,158,V,1.6,V,21.8,V,69,V
20-04-2011,24:00,2,V,293,V,2,V,21.3,V,64,V
21-04-2011,24:00,2,V,335,V,2.6,V,20.2,V,54,V
22-04-2011,24:00,2,V,335,V,2.5,V,20.8,V,54,V
23-04-2011,24:00,2,V,335,V,4.5,V,19.5,V,62,V
24-04-2011,24:00,3,V,6,V,3.6,V,19.3,V,56,V
25-04-2011,24:00,3,V,6,V,2.4,V,19.7,V,68,V
26-04-2011,24:00,4,V,336,V,1.5,V,20,V,69,V
27-04-2011,24:00,3,V,157,V,1.8,V,20.6,V,64,V
28-04-2011,24:00,3,V,293,V,1.3,V,19.9,V,69,V
29-04-2011,24:00,1,V,293,V,2.4,V,21.1,V,62,V
30-04-2011,24:00,2,V,293,V,1.8,V,19.8,V,66,V
01-05-2011,24:00,2,V,293,V,2.4,V,19.3,V,59,V
02-05-2011,24:00,2,V,292,V,2.4,V,20.6,V,62,V
03-05-2011,24:00,2,V,334,V,0.9,V,20.2,V,66,V
04-05-2011,24:00,2,V,44,V,2,V,20.4,V,67,V
05-05-2011,24:00,3,V,43,V,2.5,V,21.2,V,65,V
06-05-2011,24:00,2,V,334,V,2.1,V,21.3,V,60,V
07-05-2011,24:00,1,V,43,V,3.1,V,21.1,V,69,V
08-05-2011,24:00,3,V,24,V,3.5,V,20.7,V,65,V
09-05-2011,24:00,4,V,6,V,2.7,V,21,V,68,V
10-05-2011,24:00,9,V,6,V,2.9,V,23.1,V,67,V
11-05-2011,24:00,10,V,334,V,2.6,V,25.6,V,56,V
12-05-2011,24:00,16,V,158,V,1.8,V,24.6,V,68,V
13-05-2011,24:00,13,V,158,V,1.5,V,23.6,V,77,V
14-05-2011,24:00,13,V,157,V,1.5,V,23.9,V,74,V
15-05-2011,24:00,12,V,24,V,2.2,V,24.8,V,68,V
16-05-2011,24:00,13,V,24,V,2.7,V,22.7,V,77,V
17-05-2011,24:00,13,V,335,V,2.5,V,23.9,V,65,V
18-05-2011,24:00,6,V,335,V,2.8,V,23,V,62,V
19-05-2011,24:00,4,V,335,V,4,V,22.1,V,63,V
20-05-2011,24:00,2,V,334,V,3.5,V,22.2,V,62,V
21-05-2011,24:00,6,V,6,V,3.3,V,22.9,V,68,V
22-05-2011,24:00,6,V,6,V,3.5,V,22.4,V,70,V
23-05-2011,24:00,8,V,335,V,2.4,V,23.6,V,70,V
24-05-2011,24:00,8,V,158,V,1.8,V,24.4,V,68,V
25-05-2011,24:00,6,V,159,V,1.5,V,22.5,V,78,V
26-05-2011,24:00,6,V,158,V,2,V,23.2,V,68,V
27-05-2011,24:00,5,V,158,V,2.1,V,23.1,V,68,V
28-05-2011,24:00,3,V,334,V,1.5,V,23,V,67,V
29-05-2011,24:00,3,V,336,V,1.6,V,22.9,V,68,V
30-05-2011,24:00,2,V,6,V,2.8,V,22.8,V,63,V
31-05-2011,24:00,2,V,24,V,3.9,V,22.8,V,61,V
01-06-2011,24:00,4,V,6,V,3.3,V,23.2,V,62,V
02-06-2011,24:00,3,V,6,V,3.1,V,23.4,V,59,V
03-06-2011,24:00,4,V,335,V,3.3,V,23.2,V,64,V
04-06-2011,24:00,4,V,335,V,3,V,22.4,V,61,V
05-06-2011,24:00,4,V,335,V,3.5,V,22.8,V,62,V
06-06-2011,24:00,4,V,335,V,2.8,V,22.9,V,57,V
07-06-2011,24:00,3,V,6,V,3.5,V,22.3,V,62,V
08-06-2011,24:00,2,V,6,V,3.5,V,21.8,V,62,V
09-06-2011,24:00,2,V,335,V,3,V,22.7,V,55,V
10-06-2011,24:00,1,V,335,V,3.3,V,22.5,V,62,V
11-06-2011,24:00,1,V,335,V,3.4,V,22.9,V,56,V
12-06-2011,24:00,2,V,335,V,2.9,V,23.2,V,68,V
13-06-2011,24:00,3,V,24,V,3.6,V,24.2,V,67,V
14-06-2011,24:00,5,V,24,V,3.8,V,24.5,V,66,V
15-06-2011,24:00,6,V,6,V,2.5,V,25,V,62,V
16-06-2011,24:00,5,V,335,V,4.1,V,25.2,V,63,V
17-06-2011,24:00,5,V,336,V,4.7,V,24.1,V,65,V
18-06-2011,24:00,5,V,6,V,2.6,V,23.6,V,73,V
19-06-2011,24:00,8,V,23,V,3.3,V,25.4,V,72,V
20-06-2011,24:00,11,V,6,V,2.4,V,30.7,V,44,V
21-06-2011,24:00,10,V,6,V,2.7,V,31,V,37,V
22-06-2011,24:00,7,V,6,V,3.3,V,30.8,V,35,V
23-06-2011,24:00,7,V,6,V,2.7,V,27.3,V,57,V
24-06-2011,24:00,7,V,43,V,3.5,V,26.8,V,54,V
25-06-2011,24:00,7,V,335,V,2.6,V,26.4,V,58,V
26-06-2011,24:00,6,V,336,V,2.7,V,26.4,V,57,V
27-06-2011,24:00,7,V,23,V,3.3,V,24.1,V,73,V
28-06-2011,24:00,8,V,24,V,3.7,V,24.5,V,75,V
29-06-2011,24:00,9,V,23,V,3.7,V,24.9,V,74,V
30-06-2011,24:00,10,V,335,V,2.7,V,26.7,V,65,V
01-07-2011,24:00,12,V,6,V,1.5,V,29.3,V,54,V
02-07-2011,24:00,9,V,335,V,3,V,28.5,V,53,V
03-07-2011,24:00,5,V,23,V,4.5,V,23.8,V,66,V
04-07-2011,24:00,3,V,6,V,4.9,V,23.8,V,59,V
05-07-2011,24:00,5,V,6,V,3.3,V,24.3,V,66,V
06-07-2011,24:00,6,V,43,V,3.4,V,24.3,V,73,V
07-07-2011,24:00,4,V,43,V,4.2,V,24.5,V,70,V
